"REF_DATE","GEO","DGUID","Labour force characteristics","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2024-08","Canada","2016A000011124","Employment","Males","45 to 64 years","Persons","249","thousands","3","v19650589","1.3.2.22","3794.5","","","","1"
"2024-09","Canada","2016A000011124","Employment","Males","45 to 64 years","Persons","249","thousands","3","v19650589","1.3.2.22","3830.5","","","","1"
"2024-10","Canada","2016A000011124","Employment","Males","45 to 64 years","Persons","249","thousands","3","v19650589","1.3.2.22","3831.3","","","","1"
"2024-06","Canada","2016A000011124","Employment","Males","45 years and over","Persons","249","thousands","3","v2091286","1.3.2.5","4516.0","","","","1"
"2024-07","Canada","2016A000011124","Employment","Males","45 years and over","Persons","249","thousands","3","v2091286","1.3.2.5","4461.8","","","","1"
"2024-08","Canada","2016A000011124","Employment","Males","45 years and over","Persons","249","thousands","3","v2091286","1.3.2.5","4453.2","","","","1"
"2024-09","Canada","2016A000011124","Employment","Males","45 years and over","Persons","249","thousands","3","v2091286","1.3.2.5","4490.2","","","","1"
"2024-10","Canada","2016A000011124","Employment","Males","45 years and over","Persons","249","thousands","3","v2091286","1.3.2.5","4494.7","","","","1"
"2024-06","Canada","2016A000011124","Employment","Males","25 to 54 years","Persons","249","thousands","3","v2091287","1.3.2.6","7048.4","","","","1"
"2024-07","Canada","2016A000011124","Employment","Males","25 to 54 years","Persons","249","thousands","3","v2091287","1.3.2.6","7070.5","","","","1"
"2024-08","Canada","2016A000011124","Employment","Males","25 to 54 years","Persons","249","thousands","3","v2091287","1.3.2.6","7080.4","","","","1"
"2024-09","Canada","2016A000011124","Employment","Males","25 to 54 years","Persons","249","thousands","3","v2091287","1.3.2.6","7129.5","","","","1"
"2024-10","Canada","2016A000011124","Employment","Males","25 to 54 years","Persons","249","thousands","3","v2091287","1.3.2.6","7108.4","","","","1"
"2024-06","Canada","2016A000011124","Employment","Males","55 years and over","Persons","249","thousands","3","v2091288","1.3.2.7","2427.2","","","","1"
"2024-07","Canada","2016A000011124","Employment","Males","55 years and over","Persons","249","thousands","3","v2091288","1.3.2.7","2379.7","","","","1"
"2024-08","Canada","2016A000011124","Employment","Males","55 years and over","Persons","249","thousands","3","v2091288","1.3.2.7","2388.7","","","","1"
"2024-09","Canada","2016A000011124","Employment","Males","55 years and over","Persons","249","thousands","3","v2091288","1.3.2.7","2405.9","","","","1"
"2024-10","Canada","2016A000011124","Employment","Males","55 years and over","Persons","249","thousands","3","v2091288","1.3.2.7","2418.7","","","","1"
"2024-06","Canada","2016A000011124","Employment","Males","15 to 64 years","Persons","249","thousands","3","v2091289","1.3.2.8","10278.9","","","","1"
"2024-07","Canada","2016A000011124","Employment","Males","15 to 64 years","Persons","249","thousands","3","v2091289","1.3.2.8","10352.2","","","","1"
"2024-08","Canada","2016A000011124","Employment","Males","15 to 64 years","Persons","249","thousands","3","v2091289","1.3.2.8","10342.9","","","","1"
"2024-09","Canada","2016A000011124","Employment","Males","15 to 64 years","Persons","249","thousands","3","v2091289","1.3.2.8","10216.6","","","","1"
"2024-10","Canada","2016A000011124","Employment","Males","15 to 64 years","Persons","249","thousands","3","v2091289","1.3.2.8","10237.0","","","","1"
"2024-06","Canada","2016A000011124","Employment","Males","15 to 19 years","Persons","249","thousands","3","v2091290","1.3.2.9","473.1","","","","1"
"2024-07","Canada","2016A000011124","Employment","Males","15 to 19 years","Persons","249","thousands","3","v2091290","1.3.2.9","516.9","","","","1"
"2024-08","Canada","2016A000011124","Employment","Males","15 to 19 years","Persons","249","thousands","3","v2091290","1.3.2.9","508.4","","","","1"
